statsDataId,表章事項,男女,全国、都道府県、市区町村,時間軸（年次）,単位,値
0004050397,2025_01,0,07202,2025000000,人,109015
0004050397,2025_01,0,07203,2025000000,人,313125
0004050397,2025_01,0,07204,2025000000,人,306495
0004050397,2025_01,0,07205,2025000000,人,55388
0004050397,2025_01,0,07207,2025000000,人,71122
0004050397,2025_01,0,07208,2025000000,人,41739
0004050397,2025_01,0,07209,2025000000,人,31883
0004050397,2025_01,0,07210,2025000000,人,49291
0004050397,2025_01,0,07211,2025000000,人,31836
0004050397,2025_01,0,07212,2025000000,人,54128
0004050397,2025_01,0,07213,2025000000,人,54134
0004050397,2025_01,0,07214,2025000000,人,29641
0004050397,2025_01,0,07301,2025000000,人,10705
0004050397,2025_01,0,07303,2025000000,人,7706
0004050397,2025_01,0,07308,2025000000,人,10847
0004050397,2025_01,0,07322,2025000000,人,8942
0004050397,2025_01,0,07342,2025000000,人,12017
0004050397,2025_01,0,07344,2025000000,人,4823
0004050397,2025_01,0,07362,2025000000,人,4464
0004050397,2025_01,0,07364,2025000000,人,475
0004050397,2025_01,0,07367,2025000000,人,3467
0004050397,2025_01,0,07368,2025000000,人,12603
0004050397,2025_01,0,07402,2025000000,人,2184
0004050397,2025_01,0,07405,2025000000,人,5063
0004050397,2025_01,0,07407,2025000000,人,3033
0004050397,2025_01,0,07408,2025000000,人,11964
0004050397,2025_01,0,07421,2025000000,人,13578
0004050397,2025_01,0,07422,2025000000,人,2834
0004050397,2025_01,0,07423,2025000000,人,2611
0004050397,2025_01,0,07444,2025000000,人,1217
0004050397,2025_01,0,07445,2025000000,人,1634
0004050397,2025_01,0,07446,2025000000,人,1067
0004050397,2025_01,0,07447,2025000000,人,17292
0004050397,2025_01,0,07461,2025000000,人,20859
0004050397,2025_01,0,07464,2025000000,人,5825
0004050397,2025_01,0,07465,2025000000,人,4504
0004050397,2025_01,0,07466,2025000000,人,16468
0004050397,2025_01,0,07481,2025000000,人,11981
0004050397,2025_01,0,07482,2025000000,人,4741
0004050397,2025_01,0,07483,2025000000,人,7416
0004050397,2025_01,0,07484,2025000000,人,2628
0004050397,2025_01,0,07501,2025000000,人,13253
0004050397,2025_01,0,07502,2025000000,人,5702
0004050397,2025_01,0,07503,2025000000,人,5201
0004050397,2025_01,0,07504,2025000000,人,5423
0004050397,2025_01,0,07505,2025000000,人,4144
0004050397,2025_01,0,07521,2025000000,人,15818
0004050397,2025_01,0,07522,2025000000,人,8334
0004050397,2025_01,0,07541,2025000000,人,4783
0004050397,2025_01,0,07542,2025000000,人,4543
0004050397,2025_01,0,07543,2025000000,人,2890
0004050397,2025_01,0,07544,2025000000,人,1705
0004050397,2025_01,0,07545,2025000000,人,1534
0004050397,2025_01,0,07546,2025000000,人,211
0004050397,2025_01,0,07547,2025000000,人,2573
0004050397,2025_01,0,07548,2025000000,人,419
0004050397,2025_01,0,07561,2025000000,人,7483
0004050397,2025_01,0,07564,2025000000,人,1373
0004050397,2025_01,0,08000,2025000000,人,2791207
0004050397,2025_01,0,08201,2025000000,人,265773
0004050397,2025_01,0,08202,2025000000,人,158763
0004050397,2025_01,0,08203,2025000000,人,141588
0004050397,2025_01,0,08204,2025000000,人,136308
0004050397,2025_01,0,08205,2025000000,人,67416
0004050397,2025_01,0,08207,2025000000,人,48173
0004050397,2025_01,0,08208,2025000000,人,73931
0004050397,2025_01,0,08210,2025000000,人,40785
0004050397,2025_01,0,08211,2025000000,人,57983
0004050397,2025_01,0,08212,2025000000,人,43813
0004050397,2025_01,0,08214,2025000000,人,25028
0004050397,2025_01,0,08215,2025000000,人,38436
0004050397,2025_01,0,08216,2025000000,人,71510
0004050397,2025_01,0,08217,2025000000,人,103461
0004050397,2025_01,0,08219,2025000000,人,82524
0004050397,2025_01,0,08220,2025000000,人,268991
0004050397,2025_01,0,08221,2025000000,人,151721
0004050397,2025_01,0,08222,2025000000,人,63997
0004050397,2025_01,0,08223,2025000000,人,25141
0004050397,2025_01,0,08224,2025000000,人,70192
0004050397,2025_01,0,08225,2025000000,人,35735
0004050397,2025_01,0,08226,2025000000,人,51531
0004050397,2025_01,0,08227,2025000000,人,94838
0004050397,2025_01,0,08228,2025000000,人,51344
0004050397,2025_01,0,08229,2025000000,人,35390
0004050397,2025_01,0,08230,2025000000,人,38413
0004050397,2025_01,0,08231,2025000000,人,35207
0004050397,2025_01,0,08232,2025000000,人,93286
0004050397,2025_01,0,08233,2025000000,人,29217
0004050397,2025_01,0,08234,2025000000,人,43386
0004050397,2025_01,0,08235,2025000000,人,52070
0004050397,2025_01,0,08236,2025000000,人,46754
0004050397,2025_01,0,08302,2025000000,人,29438
0004050397,2025_01,0,08309,2025000000,人,14456
0004050397,2025_01,0,08310,2025000000,人,16363
0004050397,2025_01,0,08341,2025000000,人,37806
0004050397,2025_01,0,08364,2025000000,人,13706
0004050397,2025_01,0,08442,2025000000,人,13542
0004050397,2025_01,0,08443,2025000000,人,49689
0004050397,2025_01,0,08447,2025000000,人,7156
0004050397,2025_01,0,08521,2025000000,人,20050
0004050397,2025_01,0,08542,2025000000,人,7502
0004050397,2025_01,0,08546,2025000000,人,23926
0004050397,2025_01,0,08564,2025000000,人,14868
0004050397,2025_01,0,09000,2025000000,人,1864833
0004050397,2025_01,0,09201,2025000000,人,511733
0004050397,2025_01,0,09202,2025000000,人,135879
0004050397,2025_01,0,09203,2025000000,人,148312
